Country,inflation_2019_2023 ,inflation_2024_2028,riskFreeRate
Lesotho,6.16,6.46,8.22
Liberia,13.9,6.22,7.98
Libya,1.88,3.36,5.07
Lithuania,7.1,2.58,4.28
Luxembourg,3.26,2.76,4.46
Macao SAR,1.1,2.78,4.48
Madagascar,6.74,8.06,9.85
Malawi,15.68,14.1,15.99
Malaysia,1.6,2.72,4.42
Maldives,1.02,2.96,4.66
Mali,2.62,2.2,3.89
Malta,2.96,2.6,4.3
Marshall Islands,2.28,2.92,4.62
Mauritania,4.56,4.56,6.29
Mauritius,4.96,4.56,6.29
Mexico,5.22,3.86,5.58
Micronesia Fed. States of,3.24,3.12,4.83
Moldova,11.14,6,7.76
Mongolia,8.78,10.06,11.88
Montenegro,4.84,2.96,4.66
Morocco,3,2.68,4.38
Mozambique,5.5,6.3,8.06
Myanmar,12.68,10.8,12.63
Namibia,4.3,5.76,7.51
Nauru,3.4,3.44,5.15
Nepal,5.68,6.72,8.49
Netherlands,4.46,2.56,4.26
New Zealand,4.02,2.82,4.52
Nicaragua,6.58,5,6.74
Niger,2.42,4.04,5.76
Nigeria,17.02,21.74,23.76
North Macedonia,5.76,2.9,4.6
Norway,3.66,2.78,4.48
Oman,1.04,2.16,3.85
Pakistan,13.52,12.92,14.79
Palau,5.22,2.88,4.58
Panama,0.8,2.34,4.03
Papua New Guinea,4.18,5.48,7.23
Paraguay,4.76,4.76,6.49
Peru,4.42,2.46,4.16
Philippines,4.1,3.72,5.44
Poland,7.3,4.3,6.03
Portugal,2.9,2.44,4.14
Puerto Rico,2.16,2.76,4.46
Qatar,1.4,2.64,4.34
Romania,7.12,4.46,6.19
Russian Federation,6.84,5.48,7.23
Rwanda,7.76,6.16,7.92
Saint Kitts and Nevis,1.2,2.54,4.24
Saint Lucia,2.24,2.36,4.06
Saint Vincent and the Grenadines,2.44,2.6,4.3
Samoa,4.28,3.78,5.5
San Marino,2.78,2.46,4.16
Saudi Arabia,1.84,2.46,4.16
Senegal,4.26,2.78,4.48
Serbia,6.38,3.98,5.7
Seychelles,2.88,3.16,4.87
Sierra Leone,23,20.74,22.74
Singapore,2.72,2.7,4.4
Slovak Republic,6.14,3.2,4.91
Slovenia,3.92,2.54,4.24
Solomon Islands,2.9,3.78,5.5
Somalia,5.26,4.38,6.11
South Africa,4.96,5.48,7.23
South Sudan Republic of,28.1,21.88,23.9
Spain,3.04,2.48,4.18
Sudan,176.74,53.2,55.74
Suriname,40.48,12.56,14.42
Sweden,3.82,2.52,4.22
Switzerland,1.04,1.5,3.18
São Tomé and Príncipe,12.96,8.42,10.22
Taiwan Province of China,1.56,1.92,3.61
Tajikistan,7.14,7.44,9.22
Tanzania,3.76,4.8,6.54
Thailand,1.68,1.92,3.61
Timor-Leste,4.12,2.74,4.44
Togo,3.94,2.42,4.12
Tonga,4.76,4.64,6.37
Trinidad and Tobago,2.82,2.28,3.97
Tunisia,7.12,9.28,11.09
Turkmenistan,8.04,8.98,10.78
Tuvalu,5.86,3.9,5.62
Türkiye Republic of,34.66,35.3,37.54
Uganda,3.94,5.74,7.49
Ukraine,10.62,7.08,8.85
United Arab Emirates,0.46,2.42,4.12
United Kingdom,4.34,2.5,4.2
United States,3.96,2.66,4.36
Uruguay,8.08,6.12,7.88
Uzbekistan,11.92,8.98,10.78
Vanuatu,5.8,5.94,7.69
Venezuela,4874.72,50,52.48
Vietnam,2.86,4.14,5.86
Yemen,19.44,15.82,17.74
Zambia,13.78,9.44,11.25
Zimbabwe,354.36,591.72,603.17
