2023-Jan-01
2024-Jan-01
Ticker,ranking,metricRankSum,priceToValue_rank,priceToValue_value,residualFreeCashFlowToEnterpriseValue_rank,residualFreeCashFlowToEnterpriseValue_value,returnOnInvestedCapitalLessCostOfCapital_rank,returnOnInvestedCapitalLessCostOfCapital_value,Country,Name,ProducingExcess,ReturnOnInvestedCapital,CostOfCapital,PercentInsiders,PercentInstitutions,MarketCapitalizationMln,IPODate,Price,TargetPrice,StrongBuy,Buy,Hold,Sell,StrongSell,URL
DELL.US,10,50,9,0.294217,21,0.0677654,20,0.109052,United States,Dell Technologies Inc,Yes,0.170211,0.0611585,3.323,77.109,48976,1988-06-22,76.5,64.82,10,4,5,2,0,https://www.delltechnologies.com
NTAP.US,11,54,35,1.24232,10,0.110975,9,0.162396,United States,NetApp Inc,Yes,0.237317,0.0773934,0.401,94.085,15757.5,1995-11-21,88.16,nan,5,2,12,1,0,https://www.netapp.com
HMY.US,12,55,2,0.0117198,18,0.0752421,35,0.0649682,South Africa,Harmony Gold Mining Company Limited,Yes,0.115641,0.0506728,0,32.766,2440.85,1996-09-30,6.15,4.28,0,0,1,1,0,https://www.harmony.co.za
HMC.US,13,67,0,0.000746013,7,0.193724,60,0.01386,Japan,Honda Motor Co Ltd ADR,Yes,0.0464502,0.0325901,0,5.706,52631.6,1957-12-01,30.91,nan,2,0,2,0,0,https://www.honda.co.jp
SIG.US,14,68,14,0.477683,14,0.0916446,40,0.0551446,Bermuda,Signet Jewelers Ltd,Yes,0.129086,0.0739419,4.206,104.774,3261.88,1994-10-31,107.26,82.5,2,0,4,0,0,https://www.signetjewelers.com
NHC.AU,15,69,11,0.333758,3,0.299408,55,0.0208437,Australia,New Hope Corporation Ltd,Yes,0.0984697,0.0878749,2.032,50.526,4657.8,,5.16,nan,nan,nan,nan,nan,nan,https://www.newhopegroup.com.au
MDI.TO,16,72,19,0.75114,37,0.0348742,16,0.132676,Canada,Major Drilling Group International,Yes,0.20648,0.0830557,0.779,76.79,676.178,,9.21,nan,nan,nan,nan,nan,nan,https://www.majordrilling.com
WOR.US,17,72,7,0.252149,8,0.163926,57,0.0199134,United States,Worthington Industries Inc,Yes,0.0879924,0.068079,39.54,46.732,2973.28,1990-03-26,57.55,68,0,0,3,0,0,https://www.worthingtonindustries.com
M.US,18,75,13,0.449224,34,0.038515,28,0.0836055,United States,Macy’s Inc,Yes,0.141848,0.0582425,0.594,83.802,3040.07,1992-02-05,20.12,17.83,3,3,8,1,1,https://www.macysinc.com
LW.US,19,76,12,0.389373,56,0.0143,8,0.172751,United States,Lamb Weston Holdings Inc,Yes,0.24787,0.0763135,0.395,88.859,13480.5,2016-11-10,108.09,124.57,4,2,1,0,1,https://www.lambweston.com
DKS.US,20,81,23,0.956784,45,0.0244189,13,0.144701,United States,Dick’s Sporting Goods Inc,Yes,0.216484,0.0717834,3.425,97.561,8799.04,2002-10-16,146.95,156.5,10,3,13,1,0,https://www.dickssportinggoods.com
EXTR.US,21,81,42,1.48138,9,0.121189,30,0.0801104,United States,Extreme Networks Inc,Yes,0.1575,0.0839293,2.111,90.695,3062.09,1999-04-09,17.64,nan,5,1,2,0,0,https://www.extremenetworks.com
EXP.US,22,82,38,1.31081,25,0.055564,19,0.111504,United States,Eagle Materials Inc,Yes,0.187239,0.0774614,1.339,98.197,5845.22,1994-04-12,202.84,nan,5,2,4,1,0,https://www.eaglematerials.com
CSCO.US,23,83,26,1.09458,11,0.105449,46,0.0457076,United States,Cisco Systems Inc,Yes,0.123718,0.0869089,0.08,77.446,216732,1990-02-16,50.52,nan,8,3,16,1,0,https://www.cisco.com
MCK.US,24,83,66,24.9895,17,0.0823674,0,1.16298,United States,McKesson Corporation,Yes,1.23871,0.0797329,0.152,87.679,60070.5,1994-11-15,462.98,472.86,9,3,4,0,0,https://www.mckesson.com
TPR.US,25,86,37,1.30796,27,0.0489855,22,0.0926822,United States,Tapestry Inc,Yes,0.166777,0.0740952,0.263,96.32,6459.15,2000-10-05,36.81,50.07,11,4,6,0,0,https://www.tapestry.com
IGO.AU,26,88,22,0.923311,16,0.0827415,50,0.0258572,,IGO Ltd,Yes,0.102073,0.0854429,12.097,44.066,9291.68,,9.05,nan,nan,nan,nan,nan,nan,https://www.igo.com.au
JBH.AU,27,88,20,0.75478,12,0.0979152,56,0.020354,Australia,JB Hi-Fi Ltd,Yes,0.09657,0.0808096,0.821,59.697,5015.15,,53.03,nan,nan,nan,nan,nan,nan,https://www.jbhifi.com.au
DOL.TO,28,91,47,1.78524,42,0.0261051,2,0.342983,Canada,Dollarama Inc,Yes,0.417451,0.0769566,2.986,55.567,26344.3,,95.49,nan,nan,nan,nan,nan,nan,https://www.dollarama.com
PLAY.US,29,93,16,0.572788,26,0.0551517,51,0.0256372,United States,Dave & Buster’s Entertainment,Yes,0.0839647,0.0583275,2.163,117.845,1501.37,1995-06-06,53.85,56.44,6,2,2,0,0,https://ir.daveandbusters.com
BHP.AU,30,95,29,1.14629,35,0.0370517,31,0.0697224,Australia,BHP Group Limited,Yes,0.145938,0.0823414,0.231,33.769,221656,1987-05-28,50.41,nan,nan,nan,nan,nan,nan,https://www.bhp.com
BBY.US,31,95,30,1.15381,38,0.0347241,27,0.0847902,United States,Best Buy Co. Inc,Yes,0.159292,0.0759787,11.117,82.362,14964.8,1985-04-19,78.28,nan,4,2,21,1,1,https://investors.bestbuy.com/investor-relations/o
LOW.US,32,99,58,3.83757,29,0.047862,12,0.145354,United States,Lowe's Companies Inc,Yes,0.218398,0.0730438,0.105,77.134,115158,1985-07-01,222.55,248.72,17,4,13,1,0,https://www.lowes.com
MCHP.US,33,99,43,1.57049,19,0.0744027,37,0.0577452,United States,Microchip Technology Inc,Yes,0.13348,0.0799262,2.135,94.604,43296.3,1993-03-19,90.18,nan,12,5,9,0,0,https://www.microchip.com
AMWD.US,34,101,15,0.523588,23,0.062749,63,0.0102188,United States,American Woodmark Corporation,Yes,0.0753895,0.0651706,1.262,93.483,1224.65,1986-07-21,92.85,71,0,0,5,0,1,https://www.americanwoodmark.com
BRC.US,35,101,32,1.2016,24,0.0603696,45,0.0463873,United States,Brady Corporation,Yes,0.124398,0.0872783,3.679,86.029,2696.77,1984-06-28,58.69,nan,2,0,0,1,0,https://www.bradyid.com
ITX.MC,36,102,39,1.38584,30,0.0468982,33,0.0691271,Spain,Industria de Diseno Textil SA,Yes,0.143697,0.082015,64.351,15.822,104879,,39.43,nan,nan,nan,nan,nan,nan,https://www.inditex.com
HD.US,37,105,52,2.44975,39,0.031576,14,0.139541,United States,Home Depot Inc,Yes,0.214043,0.0780225,0.087,72.856,292841,1981-09-22,346.55,nan,16,4,15,1,0,https://www.homedepot.com
RH.US,38,107,28,1.10661,55,0.0154487,24,0.0910001,United States,RH,Yes,0.162656,0.0716556,15.71,88.641,4568.4,1998-06-19,291.48,285.67,6,1,12,1,0,https://www.rh.com
TJX.US,39,107,49,2.22553,48,0.0229922,10,0.159587,United States,The TJX Companies Inc,Yes,0.234089,0.0790859,0.092,93.052,101686,1988-01-05,93.81,90.2,14,5,6,0,0,https://www.tjx.com
GES.US,40,107,25,1.04258,43,0.0254919,39,0.0557179,United States,Guess? Inc,Yes,0.118111,0.0623932,50.319,61.099,1112.47,1996-08-07,23.06,27.3,3,0,2,0,0,https://www.guess.com
LEHN.SW,41,110,53,2.47624,36,0.0370031,21,0.102512,Switzerland,Lem Holding SA,Yes,0.178778,0.0849197,61.812,26.7,2060.11,,2075,nan,nan,nan,nan,nan,nan,https://www.lem.com
MSFT.US,42,112,56,2.65944,41,0.0280409,15,0.135169,United States,Microsoft Corporation,Yes,0.211758,0.0862388,0.052,73.212,2.3909e+06,1986-03-13,376.04,386.95,32,13,7,0,1,https://www.microsoft.com
BHP.US,43,113,41,1.45445,40,0.028218,32,0.0693501,Australia,BHP Group Limited,Yes,0.145938,0.0836454,0.005,3.635,141575,1987-05-28,68.31,65.69,5,0,1,0,0,https://www.bhp.com
BCHN.SW,44,116,40,1.44732,28,0.0480256,48,0.0366682,Switzerland,Burckhardt Compression,Yes,0.112934,0.0863027,10.339,52.277,1612.6,,507,nan,nan,nan,nan,nan,nan,https://www.burckhardtcompression.com
DRI.US,45,121,45,1.68783,33,0.0397113,43,0.0526785,United States,Darden Restaurants Inc,Yes,0.12756,0.075309,0.319,94.729,17213.5,1995-05-05,164.3,nan,14,6,11,0,0,https://www.darden.com
JBL.US,46,122,27,1.10381,53,0.0173639,42,0.0538367,United States,Jabil Circuit Inc,Yes,0.134646,0.0831022,2.916,95.625,17008,1993-04-29,127.4,120.14,4,2,2,0,0,https://www.jabil.com
MOD.US,47,124,36,1.28401,63,0.0094541,25,0.0900507,United States,Modine Manufacturing Company,Yes,0.164711,0.0746603,2.274,95.223,2526.33,1990-03-26,59.7,nan,3,1,0,0,0,https://www.modine.com
DG.US,48,126,33,1.20479,64,0.00419315,29,0.0814946,United States,Dollar General Corporation,Yes,0.153154,0.0716595,0.482,92.697,22753.1,2009-11-13,135.95,nan,7,3,17,2,1,https://www.dollargeneral.com
SOON.SW,49,129,50,2.31311,32,0.0407437,47,0.043999,Switzerland,Sonova H Ag,Yes,0.120265,0.0813133,17.172,42.144,13462.2,,274.4,nan,nan,nan,nan,nan,nan,https://www.sonova.com
CASY.US,50,130,24,1.00726,47,0.0237229,59,0.0175093,United States,Caseys General Stores Inc,Yes,0.0913473,0.0758088,0.513,88.232,10050.4,1983-10-20,274.74,272.45,7,2,4,0,0,https://www.caseys.com
SAIC.US,51,132,48,2.15382,31,0.0428857,53,0.0247169,United States,Science Applications International Corp,Yes,0.0956156,0.0708987,0.676,80.255,5659.85,2013-09-16,124.32,117.6,2,1,6,1,0,https://www.saic.com
FN.US,52,132,44,1.65182,65,0.00399368,23,0.0922142,Cayman Islands,Fabrinet,Yes,0.168802,0.0873474,0.496,100.166,6093.08,2010-06-25,190.33,153.8,2,2,1,0,0,https://www.fabrinet.com
NKE.US,53,136,51,2.34713,49,0.0220105,36,0.0584754,United States,Nike Inc,Yes,0.133357,0.0819619,1.4,83.726,147793,1980-12-02,108.57,nan,15,8,10,1,1,https://investors.nike.com
ROST.US,54,140,60,4.11017,54,0.0171703,26,0.0857252,United States,Ross Stores Inc,Yes,0.160227,0.0786068,2.006,87.42,38055.5,1986-07-09,138.39,128.9,10,6,5,1,1,https://www.rossstores.com
CTAS.US,55,144,59,4.02531,51,0.0201159,34,0.0665421,United States,Cintas Corporation,Yes,0.141423,0.0828819,15.071,66.33,50240.5,1983-08-19,602.66,nan,6,4,8,2,0,https://www.cintas.com
OSIS.US,56,148,55,2.6178,44,0.0252859,49,0.0295644,United States,OSI Systems Inc,Yes,0.10639,0.0794538,4.86,93.552,1982.99,1997-10-02,129.05,161.25,2,2,0,0,0,https://www.osi-systems.com
BXB.AU,57,157,34,1.24215,59,0.0118954,64,0.00998549,Australia,Brambles Ltd,Yes,0.0862015,0.0805108,0.373,44.476,18519.6,,13.6,nan,nan,nan,nan,nan,nan,https://www.brambles.com
KR.US,58,158,31,1.1784,61,0.0108419,66,0.00186216,United States,Kroger Company,Yes,0.0693823,0.0675202,0.702,81.676,31254.3,1928-01-26,45.71,50.92,9,2,11,0,1,https://www.thekrogerco.com
ELF.US,59,159,61,4.19207,57,0.0135282,41,0.0546536,United States,ELF Beauty Inc,Yes,0.130388,0.0856897,4.654,93.463,5499.65,2016-09-22,144.34,115.8,5,4,4,0,0,https://www.elfcosmetics.com
MDT.US,60,161,57,3.027,50,0.0211301,54,0.0237526,Ireland,Medtronic PLC,Yes,0.0975906,0.0754079,0.097,84.526,104260,1978-01-13,82.38,nan,11,5,13,0,2,https://www.medtronic.com
NVDA.US,61,161,65,9.14431,52,0.0196071,44,0.0503253,United States,NVIDIA Corporation,Yes,0.124827,0.0840235,4.041,68.653,1.10612e+06,1999-01-22,495.22,581.1,38,12,3,0,0,https://www.nvidia.com
PG.US,62,165,54,2.57786,46,0.0240604,65,0.00374152,United States,Procter & Gamble Company,No,0.0803298,0.0828587,0.113,66.119,339604,1970-01-01,146.54,166.11,10,4,8,1,0,https://www.pginvestor.com
RL.US,63,170,46,1.76631,66,0.00340662,58,0.0187293,United States,Ralph Lauren Corp Class A,Yes,0.0908938,0.0721645,4.129,113.04,7546.41,1997-06-11,144.2,nan,6,4,7,2,0,https://www.ralphlauren.com
TECH.US,64,177,63,5.98246,62,0.00982091,52,0.024925,United States,Bio-Techne Corp,Yes,0.101513,0.0856797,1.054,95.534,10625.8,1989-02-09,77.16,100.99,10,1,3,0,0,https://www.bio-techne.com
DEO.US,65,185,64,8.97755,60,0.0114411,61,0.0112371,United Kingdom,Diageo PLC ADR,Yes,0.0886266,0.0801523,0.005,9.964,89521.6,1996-05-13,145.66,174.53,4,0,2,1,1,https://www.diageo.com
REA.AU,66,187,62,4.26973,58,0.0131698,67,0.00172064,,Rea Group Ltd,No,0.0779366,0.0863154,62.271,9.985,20093.7,,181.15,nan,nan,nan,nan,nan,nan,https://www.rea-group.com
DGE.LSE,67,196,67,441.109,67,0.000176969,62,0.010559,United Kingdom,Diageo PLC,Yes,0.0886266,0.0873996,0.153,62.922,71289.3,,2856,nan,nan,nan,nan,nan,nan,https://www.diageo.com

2022-Jan-01
2022-Dec-31
Ticker,ranking,metricRankSum,priceToValue_rank,priceToValue_value,residualFreeCashFlowToEnterpriseValue_rank,residualFreeCashFlowToEnterpriseValue_value,returnOnInvestedCapitalLessCostOfCapital_rank,returnOnInvestedCapitalLessCostOfCapital_value,Country,Name,ProducingExcess,ReturnOnInvestedCapital,CostOfCapital,PercentInsiders,PercentInstitutions,MarketCapitalizationMln,IPODate,Price,TargetPrice,StrongBuy,Buy,Hold,Sell,StrongSell,URL
NVO.US,0,53,33,0.101052,12,0.464147,8,0.699891,Denmark,Novo Nordisk A/S,Yes,0.775247,0.0782914,0.007,8.223,438707,1982-01-04,66.4513,80.4,4,0,1,0,1,https://www.novonordisk.com
PBF.US,1,56,25,0.0753089,8,0.524181,23,0.379028,United States,PBF Energy Inc,Yes,0.446656,0.0676277,11.094,84.647,6457.84,2012-12-13,39.9759,46.64,3,2,9,0,0,https://www.pbfenergy.com
WHC.AU,2,71,36,0.11863,9,0.498878,26,0.370271,Australia,Whitehaven Coal Ltd,Yes,0.440753,0.0783451,10.022,33.063,6090.45,2007-05-25,8.455,nan,nan,nan,nan,nan,nan,https://www.whitehavencoal.com.au
HLAG.XETRA,3,83,35,0.116896,6,0.550422,42,0.285024,Germany,Hapag Lloyd AG,Yes,0.360033,0.075812,73.9,22.97,23253.1,,135.663,nan,nan,nan,nan,nan,nan,https://www.hapag-lloyd.com
DR0.XETRA,4,113,21,0.0581071,16,0.314974,76,0.206119,Germany,Deutsche Rohstoff AG,Yes,0.266022,0.0599027,10,3.442,173.119,,24.7731,nan,nan,nan,nan,nan,nan,https://www.rohstoff.de
TSM.US,5,118,13,0.0122881,4,0.553824,101,0.178712,Taiwan,Taiwan Semiconductor Manufacturing,Yes,0.226952,0.0482402,0.003,17.289,463095,1994-09-05,73.3753,112.01,6,3,2,0,0,https://www.tsmc.com
ENC.MC,6,127,60,0.197399,22,0.239514,45,0.277151,Spain,ENCE Energía y Celulosa S.A,Yes,0.345173,0.0680217,43.73,14.927,679.862,,2.4528,nan,nan,nan,nan,nan,nan,https://ence.es
MOH.AT,7,129,24,0.0728622,56,0.146798,49,0.264979,Greece,Motor Oil (Hellas) Corinth Refineries S.A,Yes,0.324196,0.0592169,46.608,14.892,2543.53,,20.7768,nan,nan,nan,nan,nan,nan,https://www.moh.gr
GTX.US,8,129,38,0.127494,36,0.1917,55,0.248386,Switzerland,Garrett Motion Inc,Yes,0.297481,0.0490944,0.264,74.359,1985,2018-09-17,7.62,15,0,1,0,0,0,https://www.garrettmotion.com
ARISE.ST,9,135,54,0.186176,25,0.223121,56,0.241869,Sweden,Arise Windpower AB,Yes,0.310901,0.0690324,40.454,30.838,1455.41,,49.296,nan,nan,nan,nan,nan,nan,https://www.arise.se
ARCH.US,10,138,105,0.337083,18,0.293463,15,0.514793,United States,Arch Resources Inc,Yes,0.590148,0.0829834,2.816,85.393,2810.5,1988-08-11,131.694,167.59,5,1,0,0,0,https://www.archrsc.com
WAF.AU,11,144,59,0.196145,2,0.852031,83,0.196889,,West African Resources Ltd,Yes,0.268127,0.0802401,9.945,45.916,795.238,,1.175,nan,nan,nan,nan,nan,nan,https://www.westafricanresources.com
VET.TO,12,147,49,0.176697,26,0.222003,72,0.211576,Canada,Vermilion Energy Inc.,Yes,0.285639,0.0740628,0.146,32.574,2999.56,,23.4192,nan,nan,nan,nan,nan,nan,https://www.vermilionenergy.com
UMC.US,13,155,7,0.00487989,0,1.30222,148,0.137392,Taiwan,United Microelectronics,Yes,0.183079,0.0456873,0,5.367,17829.3,2000-09-19,6.0777,7.15,2,1,0,1,1,https://www.umc.com
LPX.US,14,158,94,0.309433,47,0.158782,17,0.494308,United States,Louisiana-Pacific Corporation,Yes,0.569663,0.0818647,1.49,91.274,3749.54,1982-01-04,58.274,nan,3,3,1,2,0,https://www.lpcorp.com
YAL.AU,15,169,37,0.121122,1,0.900588,131,0.151517,Australia,Yancoal Australia Ltd,Yes,0.226511,0.0811034,77.549,3.648,6958.72,,5.0762,nan,nan,nan,nan,nan,nan,https://www.yancoal.com.au
AN.US,16,171,45,0.160864,113,0.101078,13,0.525109,United States,AutoNation Inc,Yes,0.583471,0.0583622,18.737,95.065,6023.95,1992-03-03,107.3,nan,5,0,4,1,1,https://www.autonation.com
CRESY.US,17,179,3,0.000106904,155,0.0826759,21,0.428038,Argentina,Cresud SACIF y A,Yes,0.490398,0.0623598,0,11.381,994.144,1997-03-18,5.981,21.57,1,0,0,0,0,https://www.cresud.com.ar
ELK.OL,18,188,29,0.0930984,85,0.120838,74,0.208308,Norway,Elkem ASA,Yes,0.273119,0.0648108,55.719,23.298,13912.2,,28.1694,nan,nan,nan,nan,nan,nan,https://www.elkem.com
NHC.AU,19,193,93,0.30665,20,0.274481,80,0.201059,Australia,New Hope Corporation Ltd,Yes,0.269285,0.0751799,2.032,50.526,4657.8,,6.1634,nan,nan,nan,nan,nan,nan,https://www.newhopegroup.com.au
IPO.TO,20,196,91,0.298478,19,0.275687,86,0.193585,Canada,InPlay Oil Corp,Yes,0.268906,0.08061,24.3,2.54,240.428,,2.829,nan,nan,nan,nan,nan,nan,https://www.inplayoil.com
IFP.TO,21,199,23,0.0622929,40,0.17628,136,0.148887,Canada,Interfor Corp,Yes,0.212317,0.0634298,0.536,43.919,959.446,,21,nan,nan,nan,nan,nan,nan,https://www.interfor.com
WIT.US,22,206,14,0.0131308,34,0.201612,158,0.132933,India,Wipro Limited ADR,Yes,0.16353,0.0305967,0,2.531,25746.8,2000-10-19,4.6486,4.28,0,1,1,4,2,https://www.wipro.com
NUE.US,23,208,103,0.335866,43,0.166704,62,0.226144,United States,Nucor Corp,Yes,0.3015,0.0773367,0.625,81.536,39106.6,1983-09-01,130.121,158.36,3,2,8,1,0,https://www.nucor.com
ASR.US,24,209,18,0.0322018,17,0.302436,174,0.125712,Mexico,Grupo Aeroportuario del Sureste SAB de CV ADR,Yes,0.174245,0.048533,0,15.595,6304.8,2000-09-28,222.772,306.95,2,1,2,2,1,https://www.asur.com.mx
EAF.US,25,211,76,0.259398,76,0.128919,59,0.232918,United States,GrafTech International Ltd,Yes,0.295854,0.062936,0.16,97.341,919.373,1995-08-09,4.7408,5.61,0,1,4,0,0,https://www.graftech.com
BTU.US,26,221,137,0.413566,46,0.161276,38,0.295545,United States,Peabody Energy Corp,Yes,0.3709,0.0820053,0.323,79.619,3367.81,2001-05-22,26.1594,29.2,3,0,2,0,0,https://www.peabodyenergy.com
CRK.US,27,222,53,0.181342,69,0.13337,100,0.180549,United States,Comstock Resources Inc,Yes,0.246041,0.0654918,67.547,32.921,2949.11,1990-03-26,13.0855,13.36,2,1,8,1,0,https://www.comstockresources.com
PLS.AU,28,229,104,0.336026,90,0.115771,35,0.305006,,Pilbara Minerals Ltd,Yes,0.375488,0.0790535,13.052,33.679,12690.8,2007-09-19,3.5448,nan,nan,nan,nan,nan,nan,https://www.pilbaraminerals.com.au
SDF.XETRA,29,232,51,0.177279,103,0.106673,78,0.203613,Germany,K+S Aktiengesellschaft,Yes,0.278621,0.0812902,3.083,37.693,2975.55,,17.3444,nan,nan,nan,nan,nan,nan,https://www.kpluss.com
SIG.US,30,233,139,0.425358,41,0.172113,53,0.250522,Bermuda,Signet Jewelers Ltd,Yes,0.307338,0.0568158,4.206,104.774,3261.88,1994-10-31,67.1898,82.5,2,0,4,0,0,https://www.signetjewelers.com
ALECP.PA,31,234,128,0.386898,7,0.539916,99,0.181055,France,Europacorp,Yes,0.223427,0.0423714,82.54,0.017,86.8846,,0.51,nan,nan,nan,nan,nan,nan,https://www.europacorp.com
SWN.US,32,239,42,0.151977,60,0.14385,137,0.14829,United States,Southwestern Energy Company,Yes,0.212139,0.0638483,0.602,84.103,7093.4,1987-12-30,5.85,7.79,6,3,11,2,2,https://www.swn.com
TKC.US,33,241,11,0.00939701,30,0.208613,200,0.108058,Turkey,Turkcell Iletisim Hizmetleri AS,Yes,0.148903,0.0408451,0,3.91,4361.49,2000-07-11,4.6943,4.5,2,0,0,0,0,https://www.turkcell.com.tr
WCP.TO,34,250,52,0.181294,42,0.167668,156,0.13501,Canada,Whitecap Resources Inc.,Yes,0.208709,0.0736991,0.75,24.778,6560.81,,10.1098,nan,nan,nan,nan,nan,nan,https://www.wcap.ca
PDLMF.US,35,252,27,0.0831269,10,0.491731,215,0.0980964,United Kingdom,Petra Diamonds Limited,Yes,0.152108,0.0540118,11.172,66.274,177.723,,1.1,nan,nan,nan,nan,nan,nan,https://www.petradiamonds.com
MTDR.US,36,256,87,0.288134,102,0.107841,67,0.217564,United States,Matador Resources Company,Yes,0.292919,0.0782887,7.729,89.033,6605.56,2012-02-02,56.5379,68.75,5,5,3,0,0,https://www.matadorresources.com
SM.US,37,258,62,0.205054,80,0.125703,116,0.16297,United States,SM Energy Co,Yes,0.23452,0.0715494,1.738,92.71,4492.69,1992-12-16,34.2244,nan,4,3,6,0,0,https://sm-energy.com
SUZ.US,38,259,16,0.0246728,97,0.110794,146,0.140795,Brazil,Suzano Papel e Celulose SA ADR,Yes,0.184506,0.0437115,0.001,2.728,13267.4,2007-08-16,9.0264,11.25,1,1,1,0,1,https://www.suzano.com.br
DDS.US,39,261,166,0.483819,32,0.206569,63,0.224819,United States,Dillards Inc,Yes,0.282535,0.0619331,31.889,75.452,4944.03,1989-06-30,305.675,nan,0,0,1,1,1,https://www.dillards.com
WTI.US,40,274,245,0.804477,27,0.21384,2,1.88365,United States,W&T Offshore Inc,Yes,1.94534,0.0616926,33.757,49.857,568.346,2005-01-28,5.5636,9.9,1,1,0,0,0,https://www.wtoffshore.com
PM.US,41,280,34,0.112391,235,0.0565619,11,0.595496,United States,Philip Morris International Inc,Yes,0.669511,0.0740148,0.16,78.398,143717,2008-03-17,95.8574,113.41,10,4,4,1,0,https://www.pmi.com
OUT1V.HE,42,285,83,0.28018,87,0.117998,115,0.165221,Finland,Outokumpu Oyj,Yes,0.239982,0.074761,19.388,38.257,1644.23,,4.5093,nan,nan,nan,nan,nan,nan,https://www.outokumpu.com
GLG.TO,43,286,6,0.00142038,33,0.203457,247,0.0821547,Canada,GLG Life Tech Corporation,Yes,0.185973,0.173394,41.76,0,1.3438,,0.03,nan,nan,nan,nan,nan,nan,https://www.glglifetech.com
M.US,44,290,74,0.255259,82,0.123507,134,0.149747,United States,Macy’s Inc,Yes,0.193754,0.0440063,0.594,83.802,3040.07,1992-02-05,19.796,17.83,3,3,8,1,1,https://www.macysinc.com
FANG.US,45,293,70,0.249681,154,0.0834247,69,0.214131,United States,Diamondback Energy Inc,Yes,0.2887,0.0745688,0.559,92.405,26858.5,2012-10-12,129.6,172.08,16,7,4,1,0,https://www.diamondbackenergy.com
VSTO.US,46,295,68,0.244954,152,0.08387,75,0.206155,United States,Vista Outdoor Inc,Yes,0.264296,0.0581413,3.043,85.994,1921.12,2015-02-10,24.37,nan,4,0,1,0,0,https://vistaoutdoor.com
X.US,47,299,46,0.163391,62,0.140808,191,0.112585,United States,United States Steel Corporation,Yes,0.178602,0.0660172,1.265,77.029,7373.42,1991-04-12,24.858,23.37,1,0,7,0,1,https://www.ussteel.com
MPC.US,48,311,149,0.446944,65,0.136493,97,0.181513,United States,Marathon Petroleum Corp,Yes,0.250236,0.068723,0.199,78.493,57249.7,2011-07-01,113.721,159,6,5,6,0,0,https://www.marathonpetroleum.com
ARX.TO,49,314,184,0.538731,38,0.181575,92,0.187386,Canada,ARC Resources Ltd.,Yes,0.262707,0.0789838,0.226,36.027,12807.7,,17.6016,nan,nan,nan,nan,nan,nan,https://www.arcresources.com
CATG.PA,50,319,71,0.252335,55,0.148891,193,0.11054,France,SA Catana Group,Yes,0.179066,0.0728853,0,24.689,185.329,,5.7736,nan,nan,nan,nan,nan,nan,https://www.catanagroup.com
