2023-Jan-01
2024-Jan-01
Ticker,ranking,metricRankSum,priceToValue_rank,priceToValue_value,residualFreeCashFlowToEnterpriseValue_rank,residualFreeCashFlowToEnterpriseValue_value,Country,Name,ProducingExcess,ReturnOnInvestedCapital,CostOfCapital,PercentInsiders,PercentInstitutions,MarketCapitalizationMln,IPODate,Price,TargetPrice,StrongBuy,Buy,Hold,Sell,StrongSell,URL
NTAP.US,38,88,69,1.24232,19,0.110975,United States,NetApp Inc,Yes,0.237317,0.0773934,0.401,94.085,15757.5,1995-11-21,88.16,nan,5,2,12,1,0,https://www.netapp.com
CLX.US,39,93,38,0.703313,55,0.0453246,United States,The Clorox Company,No,-0.15647,0.0803578,0.363,82.309,15500.1,1983-03-21,142.59,157.82,1,2,8,5,3,https://www.thecloroxcompany.com
HLS.AU,40,93,32,0.540638,61,0.0407487,Australia,Healius Ltd,No,-0.194411,0.0970556,1.721,77.943,1054.35,1998-07-03,1.635,nan,nan,nan,nan,nan,nan,https://www.healius.com.au
M.US,41,94,28,0.449224,66,0.038515,United States,Macy’s Inc,Yes,0.141848,0.0582425,0.594,83.802,3040.07,1992-02-05,20.12,17.83,3,3,8,1,1,https://www.macysinc.com
MYR.AU,42,94,73,1.30908,21,0.101484,Australia,Myer Holdings Ltd,No,-0.0858283,0.148905,33.148,17.462,420.072,,0.6,nan,nan,nan,nan,nan,nan,https://www.myer.com.au
NWH.AU,43,96,29,0.458707,67,0.037171,,NRW Holdings Ltd,No,0.0247601,0.0751843,7.506,20.678,1147.43,2007-09-05,2.98,nan,nan,nan,nan,nan,nan,https://www.nrw.com.au
HBH.XETRA,44,98,18,0.279236,80,0.0306601,Germany,Hornbach Holding VZO O.N.,No,0.0545088,0.0570451,37.5,36.919,935.596,,66,nan,nan,nan,nan,nan,nan,https://www.hornbach-holding.de
EXTR.US,45,100,83,1.48138,17,0.121189,United States,Extreme Networks Inc,Yes,0.1575,0.0839293,2.111,90.695,3062.09,1999-04-09,17.64,nan,5,1,2,0,0,https://www.extremenetworks.com
BRC.US,46,106,65,1.2016,41,0.0603696,United States,Brady Corporation,Yes,0.124398,0.0872783,3.679,86.029,2696.77,1984-06-28,58.69,nan,2,0,0,1,0,https://www.bradyid.com
FMG.AU,47,109,49,0.921701,60,0.04207,,Fortescue Metals Group Ltd,No,0.0389039,0.0832317,48.798,19.028,71585.9,,29.02,nan,nan,nan,nan,nan,nan,https://www.fmgl.com.au
NTCT.US,48,111,75,1.33437,36,0.0662932,United States,NetScout Systems Inc,No,0.0280084,0.0828156,4.108,95.528,2033.14,1999-08-12,21.95,35.33,0,0,2,0,0,https://www.netscout.com
MDI.TO,49,114,41,0.75114,73,0.0348742,Canada,Major Drilling Group International,Yes,0.20648,0.0830557,0.779,76.79,676.178,,9.21,nan,nan,nan,nan,nan,nan,https://www.majordrilling.com
MND.AU,50,117,52,0.999446,65,0.0385763,,Monadelphous Group Ltd,No,0.00683613,0.0833317,6.728,20.436,1380.05,,14.84,nan,nan,nan,nan,nan,nan,https://www.monadelphous.com.au
EXP.US,51,118,74,1.31081,44,0.055564,United States,Eagle Materials Inc,Yes,0.187239,0.0774614,1.339,98.197,5845.22,1994-04-12,202.84,nan,5,2,4,1,0,https://www.eaglematerials.com
MCHP.US,52,119,87,1.57049,32,0.0744027,United States,Microchip Technology Inc,Yes,0.13348,0.0799262,2.135,94.604,43296.3,1993-03-19,90.18,nan,12,5,9,0,0,https://www.microchip.com
TPR.US,53,121,72,1.30796,49,0.0489855,United States,Tapestry Inc,Yes,0.166777,0.0740952,0.263,96.32,6459.15,2000-10-05,36.81,50.07,11,4,6,0,0,https://www.tapestry.com
ALFOC.PA,54,122,19,0.28132,103,0.0193079,France,Focus Home Interactive SA,No,-0.0435855,0.0759369,46.171,27.017,154.792,,15.56,nan,nan,nan,nan,nan,nan,https://www.focus-entmt.com/en
HVN.AU,55,124,46,0.830944,78,0.0320493,Australia,Harvey Norman Holdings Ltd,No,0.0305854,0.0682683,58.851,11.96,4572.84,,4.2,nan,nan,nan,nan,nan,nan,https://www.harveynormanholdings.com.au
VIAV.US,56,125,88,1.60161,37,0.0658698,United States,Viavi Solutions Inc,No,0.0193138,0.0769973,1.121,97.378,1823.54,1993-11-17,10.07,12.1,4,0,5,0,0,https://www.viavisolutions.com
BHP.AU,57,127,59,1.14629,68,0.0370517,Australia,BHP Group Limited,Yes,0.145938,0.0823414,0.231,33.769,221656,1987-05-28,50.41,nan,nan,nan,nan,nan,nan,https://www.bhp.com
BCHN.SW,58,130,80,1.44732,50,0.0480256,Switzerland,Burckhardt Compression,Yes,0.112934,0.0863027,10.339,52.277,1612.6,,507,nan,nan,nan,nan,nan,nan,https://www.burckhardtcompression.com
ITX.MC,59,131,78,1.38584,53,0.0468982,Spain,Industria de Diseno Textil SA,Yes,0.143697,0.082015,64.351,15.822,104879,,39.43,nan,nan,nan,nan,nan,nan,https://www.inditex.com
COL.AU,60,132,62,1.18481,70,0.0364144,Australia,Coles Group Ltd,No,0.0567725,0.0722374,3.309,31.537,21226.9,,16.11,nan,nan,nan,nan,nan,nan,https://www.colesgroup.com.au
BBY.US,61,134,60,1.15381,74,0.0347241,United States,Best Buy Co. Inc,Yes,0.159292,0.0759787,11.117,82.362,14964.8,1985-04-19,78.28,nan,4,2,21,1,1,https://investors.bestbuy.com/investor-relations/o
CSS.AU,62,134,120,4.13882,14,0.146413,,Clean Seas Seafood Ltd,No,0.065786,0.0833315,13.869,23.147,71.1605,2005-12-12,0.265,nan,nan,nan,nan,nan,nan,https://www.cleanseas.com.au
UBI.PA,63,135,117,3.97438,18,0.117024,France,Ubisoft Entertainment,No,-0.139718,0.126943,28.559,48.127,3614.42,,23.11,nan,nan,nan,nan,nan,nan,https://www.ubisoft.com
AVAV.US,64,137,7,0.108935,130,0.00485156,United States,AeroVironment Inc,No,-0.260266,0.0900255,1.481,88.406,2761.02,2007-01-23,126.04,112.17,3,1,2,0,0,https://www.avinc.com
LW.US,65,138,26,0.389373,112,0.0143,United States,Lamb Weston Holdings Inc,Yes,0.24787,0.0763135,0.395,88.859,13480.5,2016-11-10,108.09,124.57,4,2,1,0,1,https://www.lambweston.com
EKTA-B.ST,66,140,63,1.18936,77,0.0331999,Sweden,Elekta AB (publ),No,0.0182054,0.0765306,6.169,68.686,29932.4,,82.32,nan,nan,nan,nan,nan,nan,https://www.elekta.com
DKS.US,67,141,51,0.956784,90,0.0244189,United States,Dick’s Sporting Goods Inc,Yes,0.216484,0.0717834,3.425,97.561,8799.04,2002-10-16,146.95,156.5,10,3,13,1,0,https://www.dickssportinggoods.com
GES.US,68,142,54,1.04258,88,0.0254919,United States,Guess? Inc,Yes,0.118111,0.0623932,50.319,61.099,1112.47,1996-08-07,23.06,27.3,3,0,2,0,0,https://www.guess.com
MTS.AU,69,145,82,1.47685,63,0.0397451,Australia,Metcash Ltd,No,0.0241,0.0682196,2.221,58.827,3644.43,,3.49,nan,nan,nan,nan,nan,nan,https://www.metcash.com
CASY.US,70,146,53,1.00726,93,0.0237229,United States,Caseys General Stores Inc,Yes,0.0913473,0.0758088,0.513,88.232,10050.4,1983-10-20,274.74,272.45,7,2,4,0,0,https://www.caseys.com
AEO.US,71,153,43,0.784716,110,0.0145653,United States,American Eagle Outfitters Inc,No,0.0375412,0.0721803,5.958,93.114,3258.49,1994-04-13,21.16,14.5,2,1,7,1,1,https://www.aeo-inc.com
SYY.US,72,154,96,1.93891,58,0.0429672,United States,Sysco Corporation,No,0.0626497,0.0758481,0.112,85.674,31785.1,1973-05-08,73.13,85.08,6,4,8,0,0,https://www.sysco.com
DRI.US,73,154,90,1.68783,64,0.0397113,United States,Darden Restaurants Inc,Yes,0.12756,0.075309,0.319,94.729,17213.5,1995-05-05,164.3,nan,14,6,11,0,0,https://www.darden.com
SAIC.US,74,156,97,2.15382,59,0.0428857,United States,Science Applications International Corp,Yes,0.0956156,0.0708987,0.676,80.255,5659.85,2013-09-16,124.32,117.6,2,1,6,1,0,https://www.saic.com
CRWD.US,75,157,109,2.68339,48,0.0503119,United States,Crowdstrike Holdings Inc,No,-0.0826822,0.0880463,2.786,70.828,38499.8,2019-06-12,255.32,185.35,32,9,7,0,0,https://www.crowdstrike.com
KMT.US,76,158,47,0.919717,111,0.0143894,United States,Kennametal Inc,No,0.0314559,0.0764227,0.881,109.389,1976.01,1987-11-05,25.79,27.67,1,0,4,2,1,https://www.kennametal.com
NEC.AU,77,158,102,2.35618,56,0.04497,Australia,Nine Entertainment Co Holdings,No,-0.0258244,0.0741356,15.591,41.67,3057.39,,2.02,nan,nan,nan,nan,nan,nan,https://www.nineforbrands.com.au
JBL.US,78,162,56,1.10381,106,0.0173639,United States,Jabil Circuit Inc,Yes,0.134646,0.0831022,2.916,95.625,17008,1993-04-29,127.4,120.14,4,2,2,0,0,https://www.jabil.com
SOON.SW,79,162,100,2.31311,62,0.0407437,Switzerland,Sonova H Ag,Yes,0.120265,0.0813133,17.172,42.144,13462.2,,274.4,nan,nan,nan,nan,nan,nan,https://www.sonova.com
WOW.AU,80,164,79,1.44517,85,0.0279352,Australia,Woolworths Ltd,No,0.0604282,0.0736053,0.25,31.599,42877.6,,37.2,nan,nan,nan,nan,nan,nan,https://www.woolworthsgroup.com.au
BHP.US,81,164,81,1.45445,83,0.028218,Australia,BHP Group Limited,Yes,0.145938,0.0836454,0.005,3.635,141575,1987-05-28,68.31,65.69,5,0,1,0,0,https://www.bhp.com
RH.US,82,166,57,1.10661,109,0.0154487,United States,RH,Yes,0.162656,0.0716556,15.71,88.641,4568.4,1998-06-19,291.48,285.67,6,1,12,1,0,https://www.rh.com
HAE.US,83,166,91,1.70434,75,0.034431,United States,Haemonetics Corporation,No,0.0734057,0.078313,0.836,101.323,4546.84,1991-05-09,85.51,105.29,1,4,2,0,0,https://www.haemonetics.com
MCK.US,84,166,137,24.9895,29,0.0823674,United States,McKesson Corporation,Yes,1.23871,0.0797329,0.152,87.679,60070.5,1994-11-15,462.98,472.86,9,3,4,0,0,https://www.mckesson.com
WES.AU,85,166,95,1.91465,71,0.0361545,Australia,Wesfarmers Ltd,No,0.0261978,0.0779516,1.364,29.99,58348.1,,57.04,nan,nan,nan,nan,nan,nan,https://www.wesfarmers.com.au
LOW.US,86,167,116,3.83757,51,0.047862,United States,Lowe's Companies Inc,Yes,0.218398,0.0730438,0.105,77.134,115158,1985-07-01,222.55,248.72,17,4,13,1,0,https://www.lowes.com
CPB.US,87,170,94,1.85058,76,0.0343392,United States,Campbell Soup Company,No,0.0503615,0.075686,36.118,53.345,11756.9,1985-07-01,43.23,50.22,2,1,11,5,1,https://www.campbellsoupcompany.com
SPLK.US,88,171,138,28.5595,33,0.0731982,United States,Splunk Inc,No,-0.0929685,0.103844,0.441,88.898,24637.8,2012-04-19,152.35,138.06,9,4,27,0,0,https://www.splunk.com
CRM.US,89,171,99,2.25116,72,0.0357023,United States,Salesforce.com Inc,No,0.00306884,0.0849562,3.167,81.093,198210,2004-06-23,263.14,nan,23,12,15,1,0,https://www.salesforce.com
LEHN.SW,90,174,105,2.47624,69,0.0370031,Switzerland,Lem Holding SA,Yes,0.178778,0.0849197,61.812,26.7,2060.11,,2075,nan,nan,nan,nan,nan,nan,https://www.lem.com
DOL.TO,91,179,93,1.78524,86,0.0261051,Canada,Dollarama Inc,Yes,0.417451,0.0769566,2.986,55.567,26344.3,,95.49,nan,nan,nan,nan,nan,nan,https://www.dollarama.com
FDX.US,92,179,44,0.797342,135,0.00329827,United States,FedEx Corporation,No,0.0600546,0.0633814,7.941,75.313,64841.2,1978-04-12,252.97,265.89,14,4,13,1,0,https://www.fedex.com
SHL.AU,93,179,77,1.3851,102,0.0195835,Australia,Sonic Healthcare Ltd,No,0.0206647,0.0787299,5.214,39.139,13852.2,,32.08,nan,nan,nan,nan,nan,nan,https://www.sonichealthcare.com
ZUO.US,94,181,129,6.73375,52,0.0478507,United States,Zuora Inc,No,-0.317992,0.103007,0.871,78.174,1264.07,2018-04-12,9.4,13,4,1,3,0,0,https://www.zuora.com
KR.US,95,181,61,1.1784,120,0.0108419,United States,Kroger Company,Yes,0.0693823,0.0675202,0.702,81.676,31254.3,1928-01-26,45.71,50.92,9,2,11,0,1,https://www.thekrogerco.com
SGM.AU,96,182,45,0.800297,137,0.0010734,,Sims Ltd,No,0.018543,0.0759907,18.092,42.643,2420.58,,15.56,nan,nan,nan,nan,nan,nan,https://www.simsmm.com
HD.US,97,183,104,2.44975,79,0.031576,United States,Home Depot Inc,Yes,0.214043,0.0780225,0.087,72.856,292841,1981-09-22,346.55,nan,16,4,15,1,0,https://www.homedepot.com
CFR.SW,98,183,86,1.52072,97,0.0211324,Switzerland,Compagnie Financière Richemont SA,No,-0.0184241,0.0785419,0.003,38.806,64119,,115.75,nan,nan,nan,nan,nan,nan,https://www.richemont.com
MTN.US,99,184,103,2.36901,81,0.0297221,United States,Vail Resorts Inc,No,-0.0077896,0.0775725,1.333,103.86,8132.97,1997-02-03,213.47,nan,3,1,5,1,0,https://www.vailresorts.com
WMT.US,100,184,85,1.51644,99,0.020626,United States,Walmart Inc,No,0.0465054,0.0781727,47.239,33.532,430919,1972-08-25,157.65,178.66,23,11,7,1,0,https://www.stock.walmart.com
EVT.AU,101,184,70,1.26466,114,0.0139598,Australia,Event Hospitality and Entertainment Ltd,No,0.0441496,0.0655537,27.766,42.569,1791.5,,12.23,nan,nan,nan,nan,nan,nan,https://www.evt.com
BXB.AU,102,186,68,1.24215,118,0.0118954,Australia,Brambles Ltd,Yes,0.0862015,0.0805108,0.373,44.476,18519.6,,13.6,nan,nan,nan,nan,nan,nan,https://www.brambles.com
SJM.US,103,191,67,1.20494,124,0.00859375,United States,JM Smucker Company,No,-0.0449375,0.0733682,3.597,83.451,11745.1,1994-10-31,126.38,151.55,2,0,10,3,0,https://www.jmsmucker.com
TJX.US,104,192,98,2.22553,94,0.0229922,United States,The TJX Companies Inc,Yes,0.234089,0.0790859,0.092,93.052,101686,1988-01-05,93.81,90.2,14,5,6,0,0,https://www.tjx.com
MSFT.US,105,192,108,2.65944,84,0.0280409,United States,Microsoft Corporation,Yes,0.211758,0.0862388,0.052,73.212,2.3909e+06,1986-03-13,376.04,386.95,32,13,7,0,1,https://www.microsoft.com
IMD.AU,106,193,64,1.19704,129,0.00606851,Australia,Imdex Ltd,No,0.0304811,0.0778701,2.848,45.577,883.245,,1.885,nan,nan,nan,nan,nan,nan,https://www.imdexlimited.com
MOD.US,107,194,71,1.28401,123,0.0094541,United States,Modine Manufacturing Company,Yes,0.164711,0.0746603,2.274,95.223,2526.33,1990-03-26,59.7,nan,3,1,0,0,0,https://www.modine.com
PH.US,108,194,112,2.91982,82,0.0286828,United States,Parker-Hannifin Corporation,No,0.0721367,0.0785583,0.438,85.942,50339.9,1985-07-01,460.7,444.73,10,3,9,0,1,https://www.parker.com
NKE.US,109,196,101,2.34713,95,0.0220105,United States,Nike Inc,Yes,0.133357,0.0819619,1.4,83.726,147793,1980-12-02,108.57,nan,15,8,10,1,1,https://investors.nike.com
OSIS.US,110,196,107,2.6178,89,0.0252859,United States,OSI Systems Inc,Yes,0.10639,0.0794538,4.86,93.552,1982.99,1997-10-02,129.05,161.25,2,2,0,0,0,https://www.osi-systems.com
DG.US,111,197,66,1.20479,131,0.00419315,United States,Dollar General Corporation,Yes,0.153154,0.0716595,0.482,92.697,22753.1,2009-11-13,135.95,nan,7,3,17,2,1,https://www.dollargeneral.com
PG.US,112,197,106,2.57786,91,0.0240604,United States,Procter & Gamble Company,No,0.0803298,0.0828587,0.113,66.119,339604,1970-01-01,146.54,166.11,10,4,8,1,0,https://www.pginvestor.com
ENS.US,113,199,84,1.49559,115,0.0135994,United States,Enersys,No,0.0557373,0.0745934,1.516,97.195,3858.16,2004-08-02,100.96,116.8,3,1,0,0,0,https://www.enersys.com
GIS.US,114,207,111,2.8306,96,0.0211509,United States,General Mills Inc,No,0.0647426,0.0756194,0.226,79.121,36324.1,1983-06-10,65.14,nan,3,2,13,2,1,https://www.generalmills.com
MDT.US,115,211,113,3.027,98,0.0211301,Ireland,Medtronic PLC,Yes,0.0975906,0.0754079,0.097,84.526,104260,1978-01-13,82.38,nan,11,5,13,0,2,https://www.medtronic.com
FLT.AU,116,215,76,1.38351,139,5.36873e-05,Australia,Flight Centre Ltd,No,0.0213384,0.0797064,19.328,36.386,4052.83,,20.36,nan,nan,nan,nan,nan,nan,https://www.fctgl.com
AMC.AU,117,215,110,2.78626,105,0.0188376,Switzerland,Amcor PLC,No,0.0312996,0.0747483,0,19.525,19743.4,,14.21,nan,nan,nan,nan,nan,nan,https://www.amcor.com
CTAS.US,118,218,118,4.02531,100,0.0201159,United States,Cintas Corporation,Yes,0.141423,0.0828819,15.071,66.33,50240.5,1983-08-19,602.66,nan,6,4,8,2,0,https://www.cintas.com
STZ.US,119,218,114,3.68734,104,0.0190472,United States,Constellation Brands Inc Class A,No,-0.0317866,0.0754213,12.441,77.393,43461.9,1987-01-01,241.75,nan,12,8,3,0,0,https://www.cbrands.com
MLKN.US,120,219,127,6.4142,92,0.0238399,United States,MillerKnoll Inc,No,0.0368874,0.0725414,0.71,98.377,1466.33,1990-03-26,26.68,nan,0,0,2,0,0,https://www.millerknoll.com
KLAC.US,121,221,134,10.6518,87,0.0255127,United States,KLA-Tencor Corporation,No,0.0573344,0.0831295,0.23,91.757,63805.5,1980-10-08,581.3,521.47,8,2,10,2,0,https://www.kla.com
FN.US,122,221,89,1.65182,132,0.00399368,Cayman Islands,Fabrinet,Yes,0.168802,0.0873474,0.496,100.166,6093.08,2010-06-25,190.33,153.8,2,2,1,0,0,https://www.fabrinet.com
RL.US,123,225,92,1.76631,133,0.00340662,United States,Ralph Lauren Corp Class A,Yes,0.0908938,0.0721645,4.129,113.04,7546.41,1997-06-11,144.2,nan,6,4,7,2,0,https://www.ralphlauren.com
ROST.US,124,226,119,4.11017,107,0.0171703,United States,Ross Stores Inc,Yes,0.160227,0.0786068,2.006,87.42,38055.5,1986-07-09,138.39,128.9,10,6,5,1,1,https://www.rossstores.com
KMX.US,125,231,123,4.44184,108,0.0165622,United States,CarMax Inc,No,0.0207268,0.0611369,0.329,110.17,11221.7,1997-02-04,76.74,nan,7,2,7,3,0,https://www.carmax.com
NVDA.US,126,233,132,9.14431,101,0.0196071,United States,NVIDIA Corporation,Yes,0.124827,0.0840235,4.041,68.653,1.10612e+06,1999-01-22,495.22,581.1,38,12,3,0,0,https://www.nvidia.com
GOOS.TO,127,236,115,3.69484,121,0.010768,Canada,Canada Goose Holdings Inc,No,0.0800139,0.0921556,1.439,113.108,2032.37,,15.74,nan,nan,nan,nan,nan,nan,https://www.canadagoose.com
ELF.US,128,237,121,4.19207,116,0.0135282,United States,ELF Beauty Inc,Yes,0.130388,0.0856897,4.654,93.463,5499.65,2016-09-22,144.34,115.8,5,4,4,0,0,https://www.elfcosmetics.com
REA.AU,129,239,122,4.26973,117,0.0131698,,Rea Group Ltd,No,0.0779366,0.0863154,62.271,9.985,20093.7,,181.15,nan,nan,nan,nan,nan,nan,https://www.rea-group.com
RPM.US,130,241,128,6.7301,113,0.0139974,United States,RPM International Inc,No,0.0572138,0.105832,1.292,80.175,12158.4,1990-03-26,111.63,107.87,3,3,8,1,0,https://www.rpminc.com
